Year,Average Temperature (Celsius),Country
2003,13.62658333333333,Albania
2004,13.258166666666666,Albania
2005,12.747083333333334,Albania
2006,12.976916666666668,Albania
2007,13.890500000000001,Albania
2008,13.955166666666665,Albania
2009,13.84425,Albania
2010,13.775416666666667,Albania
2011,13.443250000000004,Albania
2012,13.76825,Albania
1910,22.676916666666667,Algeria
1911,22.57466666666667,Algeria
1912,22.86675,Algeria
1913,23.07925,Algeria
1914,23.043166666666668,Algeria
1915,22.821166666666667,Algeria
1916,22.642999999999997,Algeria
1917,22.461166666666667,Algeria
1918,22.41125,Algeria
1919,22.773333333333337,Algeria
1920,23.09433333333334,Algeria
1921,22.723583333333337,Algeria
1922,22.9345,Algeria
1923,22.43575,Algeria
1924,23.418083333333332,Algeria
1925,22.726583333333334,Algeria
1926,23.501666666666665,Algeria
1927,23.335416666666664,Algeria
1928,23.115416666666665,Algeria
1929,22.672083333333333,Algeria
1930,23.4545,Algeria
1931,23.865833333333338,Algeria
1932,23.616916666666672,Algeria
1933,23.168500000000005,Algeria
1934,22.74466666666667,Algeria
1935,22.919750000000004,Algeria
1936,22.940916666666666,Algeria
1937,23.727499999999996,Algeria
1938,22.727666666666664,Algeria
1939,22.841416666666664,Algeria
1940,23.005916666666668,Algeria
1941,23.443416666666668,Algeria
1942,23.610166666666668,Algeria
1943,23.03333333333333,Algeria
1944,22.93416666666667,Algeria
1945,23.3655,Algeria
1946,23.254250000000003,Algeria
1947,23.69016666666667,Algeria
1948,23.07133333333333,Algeria
1949,23.188166666666664,Algeria
1950,22.781833333333335,Algeria
1951,23.32166666666667,Algeria
1952,23.18541666666667,Algeria
1953,22.869416666666666,Algeria
1954,22.65241666666667,Algeria
1955,24.004833333333334,Algeria
1956,22.611333333333338,Algeria
1957,22.62025,Algeria
1958,23.54491666666667,Algeria
1959,23.333666666666673,Algeria
1960,23.504083333333337,Algeria
1961,23.39033333333333,Algeria
1962,23.182416666666665,Algeria
1963,23.317833333333336,Algeria
1964,23.147499999999997,Algeria
1965,22.97375,Algeria
1966,23.301333333333332,Algeria
1967,22.861666666666675,Algeria
1968,23.18591666666667,Algeria
1969,23.458249999999996,Algeria
1970,23.32283333333333,Algeria
1971,22.672250000000002,Algeria
1972,22.69816666666667,Algeria
1973,22.886166666666668,Algeria
1974,22.541,Algeria
1975,22.71641666666667,Algeria
1976,22.35675,Algeria
1977,23.546083333333343,Algeria
1978,23.161833333333337,Algeria
1979,23.39683333333333,Algeria
1980,23.16016666666667,Algeria
1981,23.579250000000005,Algeria
1982,23.094166666666663,Algeria
1983,23.683000000000003,Algeria
1984,23.063083333333335,Algeria
1985,23.526250000000005,Algeria
1986,23.256666666666675,Algeria
1987,24.24775,Algeria
1988,23.81566666666667,Algeria
1989,23.724333333333334,Algeria
1990,24.014416666666666,Algeria
1991,23.011083333333335,Algeria
1992,22.767,Algeria
1993,23.450833333333335,Algeria
1994,23.642083333333332,Algeria
1995,23.7225,Algeria
1996,23.734333333333336,Algeria
1997,23.955166666666667,Algeria
1998,23.92058333333333,Algeria
1999,24.299416666666662,Algeria
2000,24.032249999999994,Algeria
2001,24.724416666666666,Algeria
2002,24.263000000000005,Algeria
2003,24.393666666666665,Algeria
2004,23.916000000000007,Algeria
2005,24.222583333333333,Algeria
2006,24.200833333333335,Algeria
2007,24.06533333333334,Algeria
2008,23.95025,Algeria
2009,24.15433333333333,Algeria
2010,25.215666666666664,Algeria
2011,24.144166666666667,Algeria
2012,23.95483333333333,Algeria
1910,10.680083333333334,Andorra
1911,11.456916666666666,Andorra
1912,10.839833333333333,Andorra
1913,11.347583333333333,Andorra
1914,10.826499999999998,Andorra
1915,10.90275,Andorra
1916,11.028583333333332,Andorra
1917,10.297333333333333,Andorra
1918,10.7295,Andorra
1919,10.493666666666668,Andorra
1920,11.419583333333334,Andorra
1921,11.545583333333335,Andorra
1922,10.931833333333335,Andorra
1923,11.217583333333335,Andorra
1924,11.17275,Andorra
1925,10.586,Andorra
1926,11.707416666666665,Andorra
1927,11.49125,Andorra
1928,11.849333333333334,Andorra
1929,11.319249999999998,Andorra
1930,11.626666666666667,Andorra
1931,11.065249999999999,Andorra
1932,10.899749999999997,Andorra
1933,11.168999999999999,Andorra
1934,11.432833333333333,Andorra
1935,11.092999999999998,Andorra
1936,11.166833333333335,Andorra
1937,11.927166666666666,Andorra
1938,11.239833333333332,Andorra
1939,11.01175,Andorra
1940,10.9375,Andorra
1941,10.624083333333335,Andorra
1942,11.30375,Andorra
1943,12.060833333333333,Andorra
1944,11.082583333333334,Andorra
1945,11.922166666666667,Andorra
1946,11.175916666666668,Andorra
1947,12.214583333333332,Andorra
1948,11.935583333333334,Andorra
1949,12.317916666666667,Andorra
1950,11.812,Andorra
1951,10.972916666666665,Andorra
1952,11.660833333333334,Andorra
1953,11.470999999999998,Andorra
1954,10.902000000000001,Andorra
1955,11.727500000000001,Andorra
1956,10.363249999999999,Andorra
1957,11.144083333333333,Andorra
1958,11.501833333333336,Andorra
1959,11.720416666666667,Andorra
1960,11.214,Andorra
1961,12.2615,Andorra
1962,11.079333333333333,Andorra
1963,10.636166666666666,Andorra
1964,11.541083333333333,Andorra
1965,11.025916666666665,Andorra
1966,11.584750000000001,Andorra
1967,11.606916666666665,Andorra
1968,11.436500000000002,Andorra
1969,10.884833333333333,Andorra
1970,11.376583333333334,Andorra
1971,11.192166666666667,Andorra
1972,10.741000000000001,Andorra
1973,11.176583333333333,Andorra
1974,11.077333333333334,Andorra
1975,11.247749999999998,Andorra
1976,11.304499999999999,Andorra
1977,11.134333333333332,Andorra
1978,11.040749999999997,Andorra
1979,11.30175,Andorra
1980,10.7725,Andorra
1981,11.546,Andorra
1982,12.18516666666667,Andorra
1983,11.991749999999998,Andorra
1984,11.03275,Andorra
1985,11.325416666666667,Andorra
1986,11.623500000000002,Andorra
1987,11.680250000000003,Andorra
1988,11.973916666666668,Andorra
1989,12.585083333333332,Andorra
1990,12.455583333333335,Andorra
1991,11.565416666666666,Andorra
1992,11.498416666666664,Andorra
1993,11.432166666666667,Andorra
1994,12.632249999999999,Andorra
1995,12.376416666666664,Andorra
1996,11.741416666666666,Andorra
1997,12.896166666666668,Andorra
1998,12.118749999999999,Andorra
1999,12.178666666666667,Andorra
2000,12.311916666666667,Andorra
2001,12.216083333333335,Andorra
2002,12.319583333333334,Andorra
2003,12.900666666666668,Andorra
2004,12.043,Andorra
2005,11.643416666666667,Andorra
2006,12.834333333333333,Andorra
2007,12.15525,Andorra
2008,11.978583333333333,Andorra
2009,12.566666666666665,Andorra
2010,11.480833333333335,Andorra
2011,12.994416666666668,Andorra
2012,12.339916666666667,Andorra
1910,21.58791666666666,Angola
1911,21.22433333333333,Angola
1912,21.923916666666667,Angola
1913,21.823666666666668,Angola
1914,21.73241666666667,Angola
1915,21.744583333333335,Angola
1916,21.97875,Angola
1917,21.675416666666667,Angola
1918,20.94483333333333,Angola
1919,21.25966666666667,Angola
1920,21.783833333333334,Angola
1921,21.92708333333334,Angola
1922,21.910416666666663,Angola
1923,21.62183333333333,Angola
1924,22.01,Angola
1925,21.546333333333333,Angola
1926,21.922666666666668,Angola
1927,21.91625,Angola
1928,22.11158333333334,Angola
1929,21.864166666666666,Angola
1930,21.618833333333328,Angola
1931,22.054,Angola
1932,21.623166666666666,Angola
1933,21.835083333333333,Angola
1934,21.98025,Angola
1935,21.741083333333332,Angola
1936,21.534333333333333,Angola
1937,21.73625,Angola
1938,21.733583333333332,Angola
1939,21.52616666666667,Angola
1940,21.75058333333334,Angola
1941,22.307916666666667,Angola
1942,21.892083333333332,Angola
1943,21.676833333333335,Angola
1944,22.164083333333334,Angola
1945,21.99591666666667,Angola
1946,22.160333333333337,Angola
1947,22.126,Angola
1948,21.89633333333333,Angola
1949,21.928250000000002,Angola
1950,21.571833333333334,Angola
1951,22.002166666666668,Angola
1952,22.18766666666667,Angola
1953,21.724833333333336,Angola
1954,21.567000000000004,Angola
1955,21.57825,Angola
1956,21.521916666666666,Angola
1957,21.991500000000002,Angola
1958,22.020249999999994,Angola
1959,22.081666666666667,Angola
1960,21.927083333333332,Angola
1961,21.938750000000002,Angola
1962,21.84866666666667,Angola
1963,21.837750000000003,Angola
1964,21.68641666666667,Angola
1965,21.81991666666667,Angola
1966,22.103250000000003,Angola
1967,21.776416666666663,Angola
1968,21.748166666666666,Angola
1969,22.1905,Angola
1970,22.149833333333333,Angola
1971,21.837,Angola
1972,22.011000000000006,Angola
1973,22.349666666666668,Angola
1974,21.623499999999996,Angola
1975,21.738916666666668,Angola
1976,21.44741666666667,Angola
1977,21.95075,Angola
1978,21.817000000000004,Angola
1979,22.144750000000002,Angola
1980,22.077583333333337,Angola
1981,22.027916666666666,Angola
1982,21.819999999999997,Angola
1983,22.367250000000002,Angola
1984,22.356166666666667,Angola
1985,22.021833333333337,Angola
1986,22.036249999999995,Angola
1987,22.749916666666664,Angola
1988,22.412333333333336,Angola
1989,22.12216666666667,Angola
1990,22.46641666666667,Angola
1991,22.095416666666665,Angola
1992,22.498583333333332,Angola
1993,22.291,Angola
1994,22.189416666666663,Angola
1995,22.936166666666665,Angola
1996,22.479249999999997,Angola
1997,22.317166666666665,Angola
1998,23.120166666666666,Angola
1999,22.382083333333338,Angola
2000,22.360666666666663,Angola
2001,22.502916666666668,Angola
2002,22.9255,Angola
2003,23.06658333333333,Angola
2004,22.572833333333335,Angola
2005,22.96608333333333,Angola
2006,21.947083333333335,Angola
2007,22.42708333333334,Angola
2008,22.287333333333333,Angola
2009,22.3165,Angola
2010,22.6815,Angola
2011,22.029666666666667,Angola
2012,22.12333333333333,Angola
1910,25.922500000000003,Antigua And Barbuda
1911,26.131,Antigua And Barbuda
1912,26.246333333333336,Antigua And Barbuda
1913,25.75658333333334,Antigua And Barbuda
1914,26.226583333333334,Antigua And Barbuda
1915,26.478416666666675,Antigua And Barbuda
1916,26.043000000000003,Antigua And Barbuda
1917,25.842583333333337,Antigua And Barbuda
1918,26.105666666666668,Antigua And Barbuda
1919,26.39975,Antigua And Barbuda
1920,26.139750000000003,Antigua And Barbuda
1921,26.26908333333333,Antigua And Barbuda
1922,26.17533333333333,Antigua And Barbuda
1923,26.16666666666667,Antigua And Barbuda
1924,26.342583333333327,Antigua And Barbuda
1925,26.164249999999996,Antigua And Barbuda
1926,26.59033333333333,Antigua And Barbuda
1927,26.373250000000002,Antigua And Barbuda
1928,26.50675,Antigua And Barbuda
1929,26.162250000000004,Antigua And Barbuda
1930,26.575916666666668,Antigua And Barbuda
1931,26.842916666666667,Antigua And Barbuda
1932,26.560333333333332,Antigua And Barbuda
1933,26.217083333333335,Antigua And Barbuda
1934,26.19275,Antigua And Barbuda
1935,26.331333333333337,Antigua And Barbuda
1936,26.3575,Antigua And Barbuda
1937,26.597333333333328,Antigua And Barbuda
1938,26.18258333333333,Antigua And Barbuda
1939,26.446583333333336,Antigua And Barbuda
1940,26.727750000000004,Antigua And Barbuda
1941,26.918000000000006,Antigua And Barbuda
1942,26.833083333333335,Antigua And Barbuda
1943,26.352249999999998,Antigua And Barbuda
1944,26.42175,Antigua And Barbuda
1945,26.169416666666667,Antigua And Barbuda
1946,26.43558333333333,Antigua And Barbuda
1947,26.777916666666666,Antigua And Barbuda
1948,26.607249999999997,Antigua And Barbuda
1949,26.23183333333333,Antigua And Barbuda
1950,26.052333333333333,Antigua And Barbuda
1951,26.537750000000003,Antigua And Barbuda
1952,26.714250000000003,Antigua And Barbuda
1953,26.863500000000002,Antigua And Barbuda
1954,26.461583333333333,Antigua And Barbuda
1955,26.600250000000003,Antigua And Barbuda
1956,26.426833333333338,Antigua And Barbuda
1957,26.677750000000003,Antigua And Barbuda
1958,27.096416666666673,Antigua And Barbuda
1959,26.902166666666663,Antigua And Barbuda
1960,26.96258333333334,Antigua And Barbuda
1961,26.73091666666667,Antigua And Barbuda
1962,26.736750000000004,Antigua And Barbuda
1963,26.891166666666667,Antigua And Barbuda
1964,26.70908333333333,Antigua And Barbuda
1965,26.421666666666663,Antigua And Barbuda
1966,26.59166666666667,Antigua And Barbuda
1967,26.342666666666663,Antigua And Barbuda
1968,26.41691666666667,Antigua And Barbuda
1969,26.881916666666665,Antigua And Barbuda
1970,26.738583333333334,Antigua And Barbuda
1971,26.39141666666667,Antigua And Barbuda
1972,26.549999999999997,Antigua And Barbuda
1973,26.87325,Antigua And Barbuda
1974,26.340000000000003,Antigua And Barbuda
1975,26.33541666666667,Antigua And Barbuda
1976,26.26766666666666,Antigua And Barbuda
1977,26.851916666666668,Antigua And Barbuda
1978,26.861499999999996,Antigua And Barbuda
1979,26.655666666666665,Antigua And Barbuda
1980,27.118416666666672,Antigua And Barbuda
1981,27.057666666666666,Antigua And Barbuda
1982,26.681,Antigua And Barbuda
1983,27.079250000000002,Antigua And Barbuda
1984,26.618750000000002,Antigua And Barbuda
1985,26.618166666666667,Antigua And Barbuda
1986,26.70925,Antigua And Barbuda
1987,27.220583333333334,Antigua And Barbuda
1988,26.953000000000007,Antigua And Barbuda
1989,26.6865,Antigua And Barbuda
1990,26.93466666666667,Antigua And Barbuda
1991,26.895666666666667,Antigua And Barbuda
1992,26.894750000000002,Antigua And Barbuda
1993,26.95616666666667,Antigua And Barbuda
1994,26.946083333333334,Antigua And Barbuda
1995,27.38033333333333,Antigua And Barbuda
1996,26.942333333333334,Antigua And Barbuda
1997,27.289333333333335,Antigua And Barbuda
1998,27.60175,Antigua And Barbuda
1999,27.13175,Antigua And Barbuda
2000,26.892083333333336,Antigua And Barbuda
2001,27.253833333333336,Antigua And Barbuda
2002,27.361749999999997,Antigua And Barbuda
2003,27.513833333333338,Antigua And Barbuda
2004,27.151166666666672,Antigua And Barbuda
2005,27.59816666666667,Antigua And Barbuda
2006,27.46641666666667,Antigua And Barbuda
2007,27.509083333333336,Antigua And Barbuda
2008,26.96541666666667,Antigua And Barbuda
2009,27.277333333333335,Antigua And Barbuda
2010,27.73541666666667,Antigua And Barbuda
2011,27.296166666666664,Antigua And Barbuda
2012,27.433499999999995,Antigua And Barbuda
1910,14.164583333333333,Argentina
1911,13.886333333333333,Argentina
1912,14.498916666666668,Argentina
1913,15.159333333333336,Argentina
1914,14.490499999999997,Argentina
1915,14.585333333333333,Argentina
1916,14.447000000000001,Argentina
1917,14.660083333333333,Argentina
1918,14.360833333333332,Argentina
1919,14.739083333333333,Argentina
1920,14.611333333333334,Argentina
1921,14.177416666666668,Argentina
1922,14.260583333333335,Argentina
1923,14.068083333333336,Argentina
1924,14.116916666666667,Argentina
1925,14.592166666666666,Argentina
1926,14.868166666666669,Argentina
1927,14.714083333333333,Argentina
1928,14.205916666666667,Argentina
1929,14.767416666666668,Argentina
1930,14.843416666666664,Argentina
1931,14.115666666666664,Argentina
1932,14.978916666666668,Argentina
1933,14.582499999999998,Argentina
1934,14.353916666666665,Argentina
1935,14.815583333333334,Argentina
1936,14.696083333333334,Argentina
1937,14.750666666666666,Argentina
1938,14.497666666666667,Argentina
1939,14.633083333333332,Argentina
1940,14.595416666666667,Argentina
1941,14.452333333333334,Argentina
1942,14.408333333333331,Argentina
1943,14.9035,Argentina
1944,15.364583333333336,Argentina
1945,15.390500000000001,Argentina
1946,14.617916666666666,Argentina
1947,14.776583333333333,Argentina
1948,14.778333333333334,Argentina
1949,14.771333333333336,Argentina
1950,14.795083333333332,Argentina
1951,14.836916666666665,Argentina
1952,14.916333333333332,Argentina
1953,14.97475,Argentina
1954,14.491416666666666,Argentina
1955,14.191166666666668,Argentina
1956,14.021416666666667,Argentina
1957,14.656250000000002,Argentina
1958,14.943416666666664,Argentina
1959,14.35425,Argentina
1960,14.99366666666667,Argentina
1961,14.972916666666665,Argentina
1962,14.852416666666668,Argentina
1963,14.847166666666666,Argentina
1964,14.431249999999999,Argentina
1965,14.909583333333332,Argentina
1966,14.677999999999999,Argentina
1967,15.049749999999998,Argentina
1968,15.196916666666668,Argentina
1969,15.262833333333335,Argentina
1970,15.195333333333336,Argentina
1971,14.651166666666668,Argentina
1972,14.81841666666667,Argentina
1973,14.597916666666668,Argentina
1974,14.637666666666666,Argentina
1975,14.939666666666668,Argentina
1976,14.440249999999999,Argentina
1977,15.351249999999999,Argentina
1978,15.186083333333334,Argentina
1979,14.974666666666664,Argentina
1980,15.226916666666666,Argentina
1981,15.167416666666668,Argentina
1982,15.256750000000002,Argentina
1983,14.954333333333333,Argentina
1984,14.400833333333333,Argentina
1985,15.326250000000002,Argentina
1986,15.33475,Argentina
1987,15.1875,Argentina
1988,14.836333333333334,Argentina
1989,15.543,Argentina
1990,15.155083333333332,Argentina
1991,15.097583333333338,Argentina
1992,14.739166666666664,Argentina
1993,15.098666666666668,Argentina
1994,15.578666666666669,Argentina
1995,15.149833333333333,Argentina
1996,15.211583333333332,Argentina
1997,15.620666666666667,Argentina
1998,15.261750000000001,Argentina
1999,15.064916666666663,Argentina
2000,14.7505,Argentina
2001,15.370416666666666,Argentina
2002,15.183750000000003,Argentina
2003,15.518333333333336,Argentina
2004,15.442166666666667,Argentina
2005,15.112833333333334,Argentina
2006,15.561083333333329,Argentina
2007,14.628083333333336,Argentina
2008,15.475999999999999,Argentina
2009,15.534416666666667,Argentina
2010,15.078833333333336,Argentina
2011,15.339666666666668,Argentina
2012,15.688999999999998,Argentina
1910,8.528166666666666,Armenia
1911,6.994583333333334,Armenia
1912,8.917250000000001,Armenia
1913,8.095333333333334,Armenia
1914,8.490166666666665,Armenia
1915,8.907666666666666,Armenia
1916,9.093750000000002,Armenia
1917,9.396916666666668,Armenia
1918,8.888499999999999,Armenia
1919,8.879583333333334,Armenia
1920,7.0205833333333345,Armenia
1921,7.701583333333335,Armenia
1922,9.157,Armenia
1923,8.851833333333333,Armenia
1924,8.98675,Armenia
1925,8.919333333333332,Armenia
1926,8.654083333333332,Armenia
1927,8.609583333333335,Armenia
1928,7.542166666666668,Armenia
1929,7.8747500000000015,Armenia
1930,9.031166666666667,Armenia
1931,7.919666666666667,Armenia
1932,8.128583333333333,Armenia
1933,7.7689166666666685,Armenia
1934,7.960333333333332,Armenia
1935,8.967250000000002,Armenia
1936,8.715333333333334,Armenia
1937,9.255666666666668,Armenia
1938,8.893583333333332,Armenia
1939,8.938583333333334,Armenia
1940,9.324583333333335,Armenia
1941,9.007750000000001,Armenia
1942,8.610166666666666,Armenia
1943,8.580916666666667,Armenia
1944,9.136916666666666,Armenia
1945,7.912916666666667,Armenia
1946,8.375083333333333,Armenia
1947,9.457333333333333,Armenia
1948,8.526166666666665,Armenia
1949,8.022333333333332,Armenia
1950,8.213000000000001,Armenia
1951,8.741583333333333,Armenia
1952,9.21,Armenia
1953,8.36875,Armenia
1954,8.936916666666667,Armenia
1955,9.968166666666667,Armenia
1956,7.765333333333334,Armenia
1957,8.972333333333333,Armenia
1958,8.97025,Armenia
1959,7.9674999999999985,Armenia
1960,9.273249999999999,Armenia
1961,9.482000000000001,Armenia
1962,9.982083333333334,Armenia
1963,9.273000000000001,Armenia
1964,8.057666666666668,Armenia
1965,8.496083333333335,Armenia
1966,10.841000000000001,Armenia
1967,8.087083333333332,Armenia
1968,8.906583333333334,Armenia
1969,8.230833333333333,Armenia
1970,9.846583333333333,Armenia
1971,9.105416666666667,Armenia
1972,7.789166666666667,Armenia
1973,8.207166666666666,Armenia
1974,8.314333333333334,Armenia
1975,8.993,Armenia
1976,8.345083333333333,Armenia
1977,8.692083333333334,Armenia
1978,9.047666666666666,Armenia
1979,10.146416666666669,Armenia
1980,9.358583333333334,Armenia
1981,9.805416666666666,Armenia
1982,8.274333333333335,Armenia
1983,9.000583333333333,Armenia
1984,9.067750000000002,Armenia
1985,9.174750000000001,Armenia
1986,9.306833333333334,Armenia
1987,8.996666666666668,Armenia
1988,8.626083333333334,Armenia
1989,9.785833333333331,Armenia
1990,9.258083333333333,Armenia
1991,9.372583333333333,Armenia
1992,7.614666666666667,Armenia
1993,7.769666666666667,Armenia
1994,9.02125,Armenia
1995,9.892166666666668,Armenia
1996,9.819166666666666,Armenia
1997,9.246333333333334,Armenia
1998,10.448416666666667,Armenia
1999,10.331000000000001,Armenia
2000,9.918166666666668,Armenia
2001,10.443416666666668,Armenia
2002,9.604999999999999,Armenia
2003,9.423083333333333,Armenia
2004,9.720166666666666,Armenia
2005,9.735416666666667,Armenia
2006,10.053500000000001,Armenia
2007,9.53525,Armenia
2008,9.706750000000001,Armenia
2009,9.842083333333333,Armenia
2010,11.509500000000003,Armenia
2011,9.136000000000001,Armenia
2012,10.35075,Armenia
1910,21.569083333333335,Australia
1911,21.347916666666666,Australia
1912,21.82616666666667,Australia
1913,21.187833333333337,Australia
1914,22.186333333333334,Australia
1915,22.144833333333334,Australia
1916,21.504416666666668,Australia
1917,20.771500000000003,Australia
1918,21.369333333333334,Australia
1919,21.82858333333333,Australia
1920,21.324416666666664,Australia
1921,21.680083333333332,Australia
1922,21.449749999999998,Australia
1923,21.536833333333334,Australia
1924,21.212583333333335,Australia
1925,21.09783333333333,Australia
1926,21.702583333333337,Australia
1927,21.397833333333335,Australia
1928,22.01908333333333,Australia
1929,21.101249999999997,Australia
1930,21.640833333333333,Australia
1931,21.239083333333337,Australia
1932,21.459666666666667,Australia
1933,21.386499999999998,Australia
1934,21.507083333333338,Australia
1935,21.39741666666666,Australia
1936,21.716333333333335,Australia
1937,21.52733333333333,Australia
1938,22.088749999999994,Australia
1939,21.34,Australia
